hub,country
Aba,Nigeria
Agbogbloshie,Ghana
Bhalswa,India
"Bui Dau",Vietnam
"Dong Mai Craft Village",Vietnam
Dongxiaokouzhen,China
Guiyu,China
Idhna,Palestine
Ikeja,Nigeria
Liushi,China
Mandoli,India
Manila,Philippines
Mayapuri,India
"Mukeng Village",China
Mustafabad,India
"Nayanda Halli",India
"Pantang West",Ghana
Shadahra,Pakistan
"Shershah Colony",Parkistan
"Trang Minh Village",Vietnam
"Turkman Gate",India
Xinqiao,China
