Hub,Academic,News,NGO,Total
Aba,3,0,0,3
Agbogbloshie,50,55,7,112
Bhalswa,2,3,1,6
Bui Dau,17,4,0,21
Dong Mai Craft Village,2,5,1,8
Dongxiaokouzhen,2,6,0,8
Guiyu,206,35,6,247
Idhna,2,0,0,2
Ikeja,3,16,0,19
Liushi,2,0,0,2
Mandoli,7,5,1,13
Manila,2,1,0,3
Mayapuri,2,3,0,5
Mukeng Village,2,0,0,2
Mustafabad,1,4,0,5
Nayanda Halli,2,0,0,2
Pantang West,2,0,0,2
Shadahra,2,0,0,2
Shershah Colony,2,0,1,3
Trang Minh Village,3,3,0,6
Turkman Gate,1,4,0,5
Xinqiao,2,0,0,2
